FILE_TYPE:DAAA96DE-B0FB-4c6e-AF7B-A445F5BF9BE2
FILE_ID:1701886249301
ENCODING:UTF-8
RECORD_SEPARATOR:35
COLUMN_SEPARATOR:124
ESC_CHARACTER:92
COLUMNS:Time|TZone|Severity|Text
SEVERITY_MAP:INFO|Information|WARN|Warning|ERROR|Error|FATAL|Fatal
HEADER_END
2023 12 06 18:10:49:302|+0000|INFO|Initializing transport log...#
2023 12 06 18:10:49:409|+0000|INFO|Deploying in org "d5c16966trial_dev-elqdg2up" and space "dev"#
2023 12 06 18:10:49:738|+0000|INFO|Detected MTA schema version: "3"#
2023 12 06 18:10:50:153|+0000|INFO|Detected deployed MTA with ID "bookshop" and version "3.0.0"#
2023 12 06 18:10:50:269|+0000|INFO|Detected new MTA version: "3.0.0"#
2023 12 06 18:10:50:274|+0000|INFO|Deployed MTA version: "3.0.0"#
2023 12 06 18:10:51:561|+0000|INFO|Building configuration entries for org d5c16966trial_dev-elqdg2up, space dev, spaceId 03f3c98e-7ae4-4f0b-b5dc-bc83c61b3ff6 and namespace null!#
2023 12 06 18:10:51:654|+0000|INFO|Creating application "bookshop-srv" from MTA module "bookshop-srv"...#
2023 12 06 18:10:52:639|+0000|INFO|Binding service instance "cf-logging" to application "bookshop-srv"...#
2023 12 06 18:10:54:145|+0000|INFO|Building configuration entries for org d5c16966trial_dev-elqdg2up, space dev, spaceId 03f3c98e-7ae4-4f0b-b5dc-bc83c61b3ff6 and namespace null!#
2023 12 06 18:10:54:241|+0000|INFO|Creating application "bookshop-db" from MTA module "bookshop-db"...#
2023 12 06 18:10:57:148|+0000|INFO|Building configuration entries for org d5c16966trial_dev-elqdg2up, space dev, spaceId 03f3c98e-7ae4-4f0b-b5dc-bc83c61b3ff6 and namespace null!#
2023 12 06 18:10:57:243|+0000|INFO|Creating application "bookshop-app" from MTA module "bookshop-app"...#
2023 12 06 18:10:54:543|+0000|INFO|Uploading application "bookshop-db"...#
2023 12 06 18:10:57:781|+0000|INFO|Uploading application "bookshop-app"...#
2023 12 06 18:10:58:353|+0000|INFO|Started async upload of application "bookshop-db"#
2023 12 06 18:11:01:100|+0000|INFO|Started async upload of application "bookshop-app"#
2023 12 06 18:11:03:927|+0000|INFO|Uploading application "bookshop-srv"...#
2023 12 06 18:11:07:942|+0000|INFO|Started async upload of application "bookshop-srv"#
2023 12 06 18:11:13:872|+0000|INFO|Staging application "bookshop-app"...#
2023 12 06 18:11:13:889|+0000|INFO|Staging application "bookshop-db"...#
2023 12 06 18:11:13:920|+0000|INFO|Staging application "bookshop-srv"...#
2023 12 06 18:11:33:931|+0000|ERROR|Error staging application "bookshop-db": BuildpackCompileFailed - App staging failed in the buildpack compile phase
Download the application logs via the dmol command and check them for more information.#
2023 12 06 18:11:44:019|+0000|INFO|Application "bookshop-srv" staged#
2023 12 06 18:11:44:025|+0000|INFO|Application "bookshop-app" staged#
2023 12 06 18:11:44:225|+0000|INFO|Starting application "bookshop-app"...#
2023 12 06 18:11:44:135|+0000|INFO|Starting application "bookshop-srv"...#
